quality	tv	internet	warehouse	price	sold_ratio
60	19000	38000	6000	21	0.921
60	19000	38000	6000	24	0.745
60	22000	23000	14000	21	0.897
60	22000	51000	12000	21	0.953
60	22000	56000	9000	21	0.961
60	24000	34000	16000	22	0.866
60	25000	51000	6000	21	0.953
60	30000	49000	18000	23	0.844
60	30000	49000	20000	23	0.844
60	35000	48000	3000	23	0.841
60	36000	48000	5000	23	0.843
60	43000	35000	15000	24	0.765
60	47000	24000	14000	21	0.922
60	47000	26000	14000	21	0.926
60	47000	56000	9000	21	0.985
60	48000	24000	14000	21	0.923
60	49000	35000	12000	23	0.83
60	49000	50000	6000	21	0.973
60	49000	51000	6000	21	0.975
60	49000	51000	6000	23	0.86
60	49000	51000	6000	24	0.799
60	49000	51000	10000	21	0.977
60	49000	56000	6000	21	0.985
60	49000	56000	8000	21	0.986
60	51000	50000	6000	21	0.975
60	51000	51000	6000	21	0.977
60	51000	51000	9000	21	0.978
60	51000	52000	6000	21	0.979
60	53000	31000	17000	24	0.766
60	53000	51000	6000	21	0.978
60	56000	40000	6000	23	0.844
61	15000	39000	2000	23	0.81
61	16000	25000	2000	23	0.783
61	16000	25000	17000	21	0.904
61	18000	51000	6000	21	0.954
61	22000	51000	9000	21	0.959
61	22000	51000	11000	21	0.96
61	22000	51000	11000	24	0.784
61	22000	51000	12000	21	0.96
61	22000	51000	12000	24	0.784
61	22000	52000	6000	23	0.845
61	22000	56000	8000	21	0.969
61	22000	56000	9000	19	1.0
61	22000	56000	9000	21	0.969
61	47000	24000	14000	19	1.0
61	47000	24000	14000	21	0.93
61	50000	35000	7000	19	1.0
62	15000	42000	11000	24	0.766
62	20000	56000	9000	21	0.974
62	22000	51000	10000	22	0.911
62	22000	51000	10000	24	0.791
62	22000	56000	8000	21	0.976
62	22000	56000	9000	21	0.976
62	22000	58000	3000	22	0.922
62	22000	58000	9000	21	0.98
62	28000	30000	16000	24	0.757
62	38000	57000	9000	21	0.994
62	38000	59000	0	21	0.994
62	38000	59000	8000	21	0.997
62	38000	59000	9000	21	0.998
62	41000	54000	1000	19	1.0
62	45000	31000	17000	24	0.775
62	47000	60000	15000	23	0.895
62	49000	51000	17000	22	0.938
62	52000	42000	3000	22	0.917
62	52000	42000	9000	21	0.976
62	53000	42000	3000	22	0.918
62	56000	25000	6000	21	0.944
62	56000	25000	16000	22	0.891
62	56000	25000	20000	22	0.892
62	56000	37000	17000	22	0.915
62	56000	37000	20000	23	0.858
62	56000	39000	17000	22	0.919
62	56000	39000	17000	24	0.8
62	56000	40000	17000	22	0.921
62	57000	25000	8000	19	1.0
62	58000	45000	14000	22	0.932
62	58000	45000	14000	24	0.812
63	17000	56000	17000	22	0.925
63	21000	42000	3000	22	0.896
63	22000	34000	16000	22	0.886
63	22000	42000	3000	22	0.897
63	24000	34000	16000	22	0.888
63	26000	46000	9000	19	1.0
63	43000	35000	15000	24	0.788
63	43000	51000	13000	21	0.995
63	47000	48000	13000	21	0.992
63	53000	41000	3000	22	0.923
63	53000	42000	3000	22	0.925
64	11000	35000	12000	23	0.823
64	11000	51000	6000	19	1.0
64	11000	51000	6000	21	0.968
64	11000	51000	20000	22	0.917
64	11000	56000	9000	20	1.0
64	20000	20000	0	20	0.967
64	21000	35000	11000	22	0.892
64	21000	49000	7000	22	0.919
64	21000	58000	16000	22	0.94
64	23000	58000	13000	21	0.997
64	23000	60000	19000	23	0.888
64	34000	59000	20000	22	0.956
64	35000	50000	4000	23	0.875
64	37000	54000	4000	21	0.999
64	37000	54000	5000	21	1.0
64	37000	54000	6000	21	1.0
64	39000	31000	4000	22	0.899
64	39000	49000	4000	22	0.935
64	43000	49000	4000	22	0.939
64	45000	49000	4000	22	0.94
64	45000	49000	8000	22	0.942
