volume	quality	unit_price
1	1	6.87
10000	64	12.34
10000	65	12.51
10000	66	12.67
10000	67	12.85
10000	68	13.03
10000	69	13.21
10000	70	13.4
10000	71	13.6
10000	72	13.81
10000	73	14.03
10000	74	14.25
10000	75	14.48
10000	76	14.72
10000	77	14.97
10000	78	15.22
10000	79	15.49
10000	80	15.77
20000	64	12.24
20000	65	12.4
20000	66	12.57
20000	67	12.74
20000	68	12.92
20000	69	13.11
20000	70	13.3
20000	71	13.5
20000	72	13.71
20000	73	13.92
20000	74	14.14
20000	75	14.38
20000	76	14.61
20000	77	14.86
20000	78	15.12
20000	79	15.39
20000	80	15.66
30000	64	12.16
30000	65	12.32
30000	66	12.49
30000	67	12.66
30000	68	12.84
30000	69	13.03
30000	70	13.22
30000	71	13.42
30000	72	13.63
30000	73	13.84
30000	74	14.06
30000	75	14.3
30000	76	14.53
30000	77	14.78
30000	78	15.04
30000	79	15.31
30000	80	15.58
40000	64	12.1
40000	65	12.26
40000	66	12.43
40000	67	12.6
40000	68	12.78
40000	69	12.97
40000	70	13.16
40000	71	13.36
40000	72	13.57
40000	73	13.79
40000	74	14.01
40000	75	14.24
40000	76	14.48
40000	77	14.73
40000	78	14.98
40000	79	15.25
40000	80	15.53
50000	64	12.07
50000	65	12.23
50000	66	12.4
50000	67	12.57
50000	68	12.75
50000	69	12.94
50000	70	13.13
50000	71	13.33
50000	72	13.54
50000	73	13.75
50000	74	13.97
50000	75	14.21
50000	76	14.44
50000	77	14.69
50000	78	14.95
50000	79	15.22
50000	80	15.49
60000	64	12.05
60000	65	12.22
60000	66	12.38
60000	67	12.56
60000	68	12.74
60000	69	12.92
60000	70	13.11
60000	71	13.32
60000	72	13.52
60000	73	13.74
60000	74	13.96
60000	75	14.19
60000	76	14.43
60000	77	14.68
60000	78	14.94
60000	79	15.2
60000	80	15.48
61000	64	12.05
61000	65	12.22
61000	66	12.38
61000	67	12.56
61000	68	12.74
61000	69	12.92
61000	70	13.11
61000	71	13.31
61000	72	13.52
61000	73	13.74
61000	74	13.96
62000	64	12.05
62000	65	12.22
62000	66	12.38
62000	67	12.56
62000	68	12.74
62000	69	12.92
62000	70	13.11
62000	71	13.31
62000	72	13.52
62000	73	13.74
62000	74	13.96
63000	64	12.05
63000	65	12.22
63000	66	12.38
63000	67	12.56
63000	68	12.74
63000	69	12.92
63000	70	13.11
63000	71	13.31
63000	72	13.52
63000	73	13.74
63000	74	13.96
64000	64	12.05
64000	65	12.22
64000	66	12.38
64000	67	12.56
64000	68	12.74
64000	69	12.92
64000	70	13.11
64000	71	13.31
64000	72	13.52
64000	73	13.74
64000	74	13.96
65000	64	12.05
65000	65	12.22
65000	66	12.38
65000	67	12.56
65000	68	12.74
65000	69	12.92
65000	70	13.11
65000	71	13.31
65000	72	13.52
65000	73	13.74
65000	74	13.96
66000	64	12.05
66000	65	12.22
66000	66	12.38
66000	67	12.56
66000	68	12.74
66000	69	12.92
66000	70	13.12
66000	71	13.32
66000	72	13.52
66000	73	13.74
66000	74	13.96
67000	64	12.06
67000	65	12.22
67000	66	12.38
67000	67	12.56
67000	68	12.74
67000	69	12.92
67000	70	13.12
67000	71	13.32
67000	72	13.52
67000	73	13.74
67000	74	13.96
68000	64	12.06
68000	65	12.22
68000	66	12.38
68000	67	12.56
68000	68	12.74
68000	69	12.92
68000	70	13.12
68000	71	13.32
68000	72	13.52
68000	73	13.74
68000	74	13.96
69000	64	12.06
69000	65	12.22
69000	66	12.39
69000	67	12.56
69000	68	12.74
69000	69	12.92
69000	70	13.12
69000	71	13.32
69000	72	13.52
69000	73	13.74
69000	74	13.96
70000	64	12.06
70000	65	12.22
70000	66	12.39
70000	67	12.56
70000	68	12.74
70000	69	12.93
70000	70	13.12
70000	71	13.32
70000	72	13.53
70000	73	13.74
70000	74	13.96
70000	75	14.19
70000	76	14.43
70000	77	14.68
70000	78	14.94
70000	79	15.2
70000	80	15.48
71000	64	12.06
71000	65	12.22
71000	66	12.39
71000	67	12.56
71000	68	12.74
71000	69	12.93
71000	70	13.12
71000	71	13.32
71000	72	13.53
71000	73	13.74
71000	74	13.96
72000	64	12.06
72000	65	12.22
72000	66	12.39
