volume	quality	tv	internet	warehouse	price	sold_num	sold_ratio	income	return_rate	unit_price
10000	64	53000	40000	10000	19	10000	1	190000	1.4237171927967163	12.34
10000	65	38000	41000	9000	22	9268	0.9268	208475	1.5233790336865634	12.51
10000	57	21000	31000	3000	22	8282	0.8282	191962	1.5344055767645124	11.36
10000	58	34000	41000	3000	22	8690	0.869	198706	1.5662669614526148	11.49
10000	58	52000	60000	4000	20	10000	1	200000	1.5944296641944353	11.49
10000	62	49000	34000	4000	21	9554	0.9554	203319	1.5586349925791858	12.04
10000	55	20000	32000	16000	20	9274	0.9274	189517	1.5812504579989741	11.12
10000	62	42000	53000	6000	21	9882	0.9882	208232	1.596057745807885	12.04
10000	64	23000	55000	4000	20	10000	1	200000	1.521339418691008	12.34
10000	60	55000	23000	18000	20	9821	0.9821	197472	1.553528958234236	11.75
10000	56	30000	33000	1000	20	9423	0.9423	191703	1.593973243881025	11.24
10000	59	41000	27000	2000	21	9111	0.9111	196496	1.5587491846493804	11.62
10000	58	21000	52000	4000	22	8787	0.8787	200283	1.584872612453287	11.49
10000	61	31000	47000	19000	19	10000	1	190000	1.4839919017690126	11.89
10000	55	43000	50000	12000	20	9838	0.9838	197661	1.6337683567156178	11.12
10000	62	38000	37000	1000	22	8946	0.8946	203157	1.540930940824013	12.04
10000	63	24000	59000	18000	20	10000	1	200000	1.5192782376372445	12.19
10000	57	39000	45000	2000	22	8731	0.8731	199290	1.582647931228395	11.36
10000	60	31000	50000	13000	19	10000	1	190000	1.5049082311851139	11.75
10000	60	37000	29000	16000	20	9783	0.9783	196935	1.563060061566564	11.75
10000	59	33000	25000	4000	20	9545	0.9545	193544	1.5640000782930705	11.62
10000	57	44000	48000	14000	21	9441	0.9441	201436	1.6102891615691561	11.36
10000	56	56000	43000	1000	21	9308	0.9308	199357	1.6115091347662185	11.24
10000	60	55000	29000	1000	21	9340	0.934	200018	1.5635550663685767	11.75
10000	63	26000	51000	10000	19	10000	1	190000	1.4578613570306789	12.19
10000	62	47000	57000	15000	19	10000	1	190000	1.4423583335088896	12.04
10000	59	51000	24000	5000	22	8584	0.8584	197075	1.5276862355306047	11.62
10000	65	31000	37000	1000	20	10000	1	200000	1.5145216255865448	12.51
10000	63	56000	42000	12000	20	10000	1	200000	1.5094344452812414	12.19
10000	59	27000	34000	12000	22	8595	0.8595	197253	1.5372377443240202	11.62
10000	55	27000	42000	5000	22	8403	0.8403	193745	1.5693661732581932	11.12
10000	60	60000	57000	7000	20	10000	1	200000	1.5500705418430212	11.75
10000	60	56000	56000	0	22	9322	0.9322	209067	1.6034375891143011	11.75
10000	64	53000	54000	1000	21	10000	1	210000	1.5679097701718465	12.34
10000	60	27000	24000	18000	21	9056	0.9056	195722	1.5332767110356147	11.75
10000	64	39000	48000	8000	20	10000	1	200000	1.5072933534305781	12.34
10000	57	24000	58000	2000	20	9950	0.995	199284	1.6419837626084957	11.36
10000	61	24000	38000	5000	22	8773	0.8773	200301	1.539935594460569	11.89
10000	57	57000	52000	4000	21	9590	0.959	203719	1.6274300627785663	11.36
10000	62	32000	37000	19000	20	10000	1	200000	1.5526022771500068	12.04
10000	57	24000	58000	2000	20	9950	0.995	199284	1.6419837626084957	11.36
10000	57	44000	48000	14000	21	9441	0.9441	201436	1.6102891615691561	11.36
10000	56	30000	34000	1000	20	9443	0.9443	191990	1.5962362991964325	11.24
10000	63	37000	34000	12000	20	10000	1	200000	1.5389659711879682	12.19
10000	59	27000	29000	16000	22	8509	0.8509	195861	1.522930443303535	11.62
10000	57	60000	57000	7000	20	10000	1	200000	1.6032858145832212	11.36
10000	60	21000	31000	3000	22	8519	0.8519	196119	1.52592859752374	11.75
