vol	qual	tv	internet	warehouse	price	sold_num	sold_ratio
50000	76	37000	29000	38000	21	18194	0.36388
50000	90	50000	37000	3000	14	42674	0.85348
50000	84	19000	43000	29000	11	50000	1
50000	72	48000	49000	12000	13	50000	1
50000	73	27000	3000	25000	19	50000	1
50000	66	25000	30000	1000	14	50000	1
50000	69	6000	38000	37000	18	50000	1
50000	81	2000	38000	47000	18	50000	1
50000	87	40000	40000	34000	16	50000	1
50000	78	0	23000	11000	10	50000	1
50000	70	24000	30000	16000	18	28361	0.56722
50000	79	19000	35000	13000	17	50000	1
50000	78	46000	33000	40000	22	50000	1
50000	74	46000	7000	4000	23	43058	0.86116
50000	74	9000	4000	11000	18	50000	1
50000	74	5000	41000	20000	10	50000	1
50000	72	12000	3000	1000	12	50000	1
50000	72	47000	39000	10000	25	39590	0.7918
50000	65	20000	1000	5000	13	50000	1
50000	87	44000	7000	17000	13	50000	1
50000	84	46000	33000	33000	18	28395	0.5679
50000	90	25000	15000	49000	14	30329	0.60658
50000	66	8000	15000	31000	20	48439	0.96878
50000	71	30000	42000	9000	21	50000	1
50000	83	0	14000	8000	10	50000	1
50000	85	49000	27000	49000	16	50000	1
50000	79	11000	34000	3000	19	50000	1
50000	70	29000	3000	48000	24	38367	0.76734
50000	81	20000	39000	50000	20	50000	1
50000	65	34000	45000	48000	25	37990	0.7598
