volume	quality	tv	internet	warehouse	price	sold_num	sold_ratio	income	return_rate	unit_price
17713	65	52000	10000	22000	22	15610	0.8812736408287698	356480	1.413475790638041	12.42
45633	66	49000	10000	4000	22	40124	0.8792759625709464	916911	1.4417692564702254	12.41
35119	65	48000	10000	1000	24	26363	0.7506762721034198	686518	1.360565610270566	12.29
67749	67	27000	60000	20000	21	67749	1	1422729	1.481607629427793	12.56
54180	65	45000	3000	9000	22	46433	0.8570136581764489	1068860	1.4344267799989505	12.22
101243	65	8000	51000	56000	23	88296	0.8721195539444703	2110562	1.42826458456099	12.32
130323	67	41000	31000	55000	21	129445	0.9932628929659385	2723991	1.4141702903633049	12.86
163614	67	60000	12000	12000	21	156691	0.9576869950004279	3336030	1.392126029359112	13.15
169664	66	35000	28000	55000	21	165461	0.9752275084873633	3502064	1.3841881278113128	13.03
262343	66	35000	23000	36000	22	237110	0.9038167589758446	5391537	1.2983770152211114	13.88
16540	67	27000	60000	20000	21	16540	1	347340	1.4599765061251888	12.77
51614	65	8000	51000	56000	23	45013	0.8721083426977176	1075664	1.4374586700274297	12.23
47569	65	52000	10000	22000	22	41921	0.8812672118396435	956828	1.4322610556348074	12.24
50876	67	8000	51000	56000	23	45053	0.885545247267867	1072817	1.4248879453839287	12.57
54143	65	8000	51000	56000	23	47219	0.8721164324104685	1128343	1.438502398733864	12.22
163273	67	27000	60000	20000	21	163273	1	3428733	1.4233627822184827	13.14
106793	65	49000	10000	4000	22	93177	0.8725010066202841	2134041	1.4360117634918996	12.36
166986	66	35000	23000	4000	22	149136	0.8931048111817758	3397017	1.4041419418432726	13
115918	66	49000	10000	36000	22	103167	0.889999827464242	2349878	1.3957524212182293	12.58
189972	67	49000	10000	4000	22	168302	0.8859305581875224	3847833	1.352856869315462	13.4
21140	67	27000	60000	20000	21	21140	1	443940	1.4640478880688512	12.73
35726	65	52000	10000	22000	22	31484	0.8812629457537927	718715	1.4269830714956475	12.29
47172	65	8000	51000	56000	23	41139	0.8721063342660901	983119	1.4364253259581192	12.24
50453	67	8000	51000	56000	23	44678	0.8855370344677225	1063890	1.4248744361083636	12.57
95194	67	8000	23000	4000	23	77431	0.8134021051746959	1893175	1.410805075930934	12.64
102930	65	35000	51000	56000	22	98654	0.9584572039249976	2196750	1.4616143604942993	12.33
166584	65	8000	51000	56000	23	145281	0.8721185708111223	3478122	1.37821498803516	12.83
152955	65	8000	51000	55000	23	133357	0.8718708116766369	3191756	1.390607140295081	12.71
146912	67	8000	51000	56000	23	130098	0.8855505336527989	3101545	1.3832843091334894	13
