volume	quality	tv	internet	warehouse	price	sold_num	sold_ratio	income	return_rate	unit_price
18234	62	56000	39000	17000	22	16764	0.9193813754524515	377591	1.5120823660947158	11.95
44128	62	57000	25000	8000	19	44128	1	838432	1.4719154896951712	11.78
61487	65	47000	46000	18000	23	54674	0.8891960902304552	1299129	1.49659269300723	12.22
58216	65	37000	58000	12000	22	55949	0.9610588154459255	1244729	1.553267062204406	12.22
118180	69	60000	27000	9000	20	118180	1	2363600	1.3820915232139488	13.13
80131	60	36000	48000	5000	23	67522	0.8426451685365215	1625445	1.5407883054535796	11.49
145912	64	43000	49000	4000	22	136939	0.9385040298261966	3068650	1.501120140800118	12.48
127976	64	20000	20000	0	20	123796	0.9673376258048384	2501711	1.4992849230163532	12.34
156472	64	34000	59000	20000	22	149607	0.9561263357022343	3334535	1.4923041708073088	12.58
228060	70	23000	51000	12000	22	220327	0.9660922564237482	4902524	1.3606195178580005	14.31
23761	61	22000	56000	9000	21	23025	0.9690248726905434	487853	1.5836807503634425	11.76
45050	64	11000	35000	12000	23	37090	0.82330743618202	901148	1.4743796216271818	12.08
56552	60	30000	49000	18000	23	47711	0.8436660065072853	1148056	1.5335138632102876	11.47
72935	69	10000	38000	3000	20	72935	1	1458700	1.46431322824109	12.93
68022	61	50000	35000	7000	19	68022	1	1292418	1.4906064042972123	11.61
98352	68	17000	32000	11000	20	98352	1	1967040	1.4634624339368039	12.83
116048	69	48000	47000	18000	24	99464	0.8570936164345788	2495927	1.399282551444128	13.12
118040	62	47000	60000	15000	23	105630	0.8948661470687902	2503702	1.5223304219579905	11.96
118019	61	16000	25000	2000	23	92444	0.7832976046229845	2277360	1.4535700776073157	11.82
182738	64	35000	50000	4000	23	159844	0.8747168076699975	3823163	1.4334989404601932	12.82
19446	61	22000	51000	12000	21	18670	0.9600946210017485	396645	1.5680835440829874	11.79
44288	66	20000	31000	19000	23	37251	0.8411082008670521	900438	1.4498510078053846	12.41
60376	64	21000	35000	11000	22	53873	0.8922916390618789	1224387	1.5194307988944786	12.05
