volume	quality	tv	internet	warehouse	price	sold_num	sold_ratio	income	return_rate	unit_price
20728	73	30000	2000	5000	11	20728	1	-127318	-0.37968424756803826	13.91
29059	82	36000	1000	21000	10	29059	1	-267294	-0.49693614236526834	16.17
43311	70	7000	2000	2000	25	28737	0.6635034979566392	203710	0.344956048626763	13.15
89566	79	32000	7000	23000	10	89566	1	-563117	-0.391385878423133	15.26
86461	71	29000	7000	37000	14	86461	1	-47664	-0.038497138398763286	13.36
114262	77	49000	20000	45000	10	114262	1	-699313	-0.38383025061843656	14.86
122459	67	14000	22000	32000	21	115411	0.9424460431654677	803263	0.48816481563074493	12.8
154928	65	29000	13000	40000	14	154928	1	84759	0.04106077172489733	12.73
178435	73	50000	41000	19000	13	178435	1	-402299	-0.14889187602749715	14.47
120736	73	32000	9000	19000	25	178435	1.4778939173071826	-402299	-0.22901084488304935	13.97
14244	66	42000	5000	2000	13	14244	1	-73587	-0.3082061828035802	12.62
21784	74	4000	0	36000	16	21784	1	-29263	-0.08178431388989035	14.13
60744	75	29000	29000	25000	23	54829	0.9026241274858422	328077	0.34355159446969863	14.19
62320	81	42000	34000	3000	13	62320	1	-281003	-0.2623344906424139	15.76
67861	79	7000	3000	0	17	67861	1	82150	0.07812745188480695	15.2
113929	79	48000	15000	25000	25	89696	0.7872973518594915	557506	0.30113208240181444	15.39
153273	66	6000	36000	18000	22	137048	0.8941431302316781	1055389	0.5162957230270097	12.88
114192	83	23000	17000	7000	14	114192	1	-368189	-0.18911775114709353	16.55
170293	66	3000	4000	49000	22	142365	0.8360003053560627	1009064	0.4416195424166392	13.03
144805	73	24000	28000	45000	12	142365	0.9831497531162599	1009064	0.46771402005526924	14.16
19409	73	23000	32000	22000	19	19409	1	-8596	-0.024053703895435225	13.93
48712	73	19000	33000	35000	14	48712	1	-104822	-0.13670235657742016	13.75
62520	85	4000	34000	29000	11	62520	1	-472745	-0.4145195161622671	17.01
94886	79	27000	45000	44000	23	90997	0.959013974664334	526785	0.3342845611723899	15.28
110044	75	36000	3000	8000	15	110044	1	-5471	-0.003343864274926641	14.35
128646	78	37000	16000	24000	19	128646	1	379282	0.18546869621005851	15.22
89600	83	6000	30000	9000	22	87165	0.9728236607142857	391389	0.2564413536081015	16.42
191498	87	45000	19000	41000	10	191498	1	-1772307	-0.48327469325416855	18.55
158216	86	12000	25000	46000	19	158216	1	64202	0.021972673963740058	17.88
167951	66	6000	36000	18000	22	158216	0.9420366654559961	64202	0.028470423167284688	13.01
24692	75	36000	3000	8000	15	24692	1	-60456	-0.14715360873925362	14.33
35702	86	12000	25000	46000	19	35702	1	-56233	-0.07869476930913794	17.41
51445	70	7000	0	2000	25	33929	0.6595198755952959	248746	0.3581800274165121	13.13
78820	75	29000	29000	25000	23	71145	0.9026262369956863	457834	0.377429449511637	14.21
90246	75	37000	3000	8000	15	90246	1	-10315	-0.007674822638308637	14.25
106807	79	48000	17000	25000	25	84516	0.7912964506071699	525453	0.30225912165018903	15.34
88288	66	6000	36000	18000	22	78942	0.8941418992388547	607390	0.5072493421266908	12.43
114624	65	6000	13000	40000	14	114624	1	94399	0.06334070750441008	12.4
117910	83	29000	30000	9000	22	117571	0.9971249257908574	537603	0.26459861558996894	16.57
175874	73	19000	29000	25000	14	117571	0.6684956275515426	537603	0.20498699773508933	14.44
13832	75	29000	33000	35000	17	13832	1	-91590	-0.2985974818572444	14.44
40346	86	12000	25000	49000	22	40136	0.9947950230506122	67202	0.08425357565545324	17.39
46540	68	3000	4000	46000	19	46540	1	207410	0.3157646342391718	12.76
64136	73	32000	9000	19000	25	46650	0.7273606087064987	315151	0.3313096334422452	13.74
72146	65	29000	13000	40000	15	72146	1	88566	0.09096530077319376	12.22
109537	78	36000	16000	24000	19	109537	1	322290	0.18533992212376352	15.09
159821	79	48000	32000	25000	25	131261	0.8213000794639003	852800	0.32379342526211397	15.76
153208	75	29000	15000	25000	23	134000	0.8746279567646598	873458	0.37493502173096527	14.69
156086	65	29000	13000	40000	14	156086	1	84669	0.04069578257515495	12.74
179284	67	14000	7000	37000	14	156086	0.8706075277213806	84669	0.034549129957187466	13.29
25339	70	29000	22000	32000	21	24752	0.9768341292079403	74940	0.17479084109054185	13.25
45024	75	36000	3000	8000	15	45024	1	-41881	-0.0600667487999128	14.22
48913	70	7000	2000	2000	25	32454	0.6635045897818576	236176	0.3561013046815042	13.13
55996	66	42000	5000	2000	13	55996	1	-44842	-0.059567741335565035	12.39
