vol	qual	tv	internet	warehouse	price	sold_num	sold_ratio
50000	86	30000	0	47000	23	18845	0.3769
50000	66	30000	19000	23000	20	49862	0.99724
50000	78	29000	34000	30000	12	50000	1
50000	71	33000	17000	29000	25	36794	0.73588
50000	75	5000	4000	26000	14	50000	1
50000	88	23000	43000	31000	16	50000	1
50000	75	37000	28000	21000	15	50000	1
50000	82	6000	15000	40000	11	50000	1
50000	66	47000	12000	4000	18	50000	1
50000	90	15000	17000	45000	15	50000	1
50000	67	44000	5000	25000	23	21446	0.42892
50000	85	17000	5000	26000	17	30273	0.60546
50000	89	7000	3000	39000	24	41717	0.83434
50000	84	45000	1000	47000	23	45565	0.9113
50000	68	20000	10000	26000	19	50000	1
50000	79	2000	37000	0	15	50000	1
50000	86	15000	48000	36000	20	50000	1
50000	69	49000	24000	9000	24	40438	0.80876
50000	77	48000	4000	34000	12	50000	1
50000	88	44000	26000	14000	13	50000	1
