volume	quality	unit_price
100000	79	15.3
110000	79	15.36
120000	79	15.43
130000	79	15.5
140000	79	15.58
150000	79	15.67
160000	79	15.76
170000	79	15.85
180000	79	15.94
190000	79	16.04
200000	79	16.14
210000	79	16.23
220000	79	16.33
230000	79	16.42
240000	79	16.51
250000	79	16.6
260000	79	16.68
270000	79	16.76
280000	79	16.84
290000	79	16.91
300000	79	16.98
310000	79	17.05
320000	79	17.11
330000	79	17.17
340000	79	17.22
350000	79	17.28
360000	79	17.33
370000	79	17.38
380000	79	17.43
390000	79	17.48
400000	79	17.53
100000	80	15.58
110000	80	15.64
120000	80	15.7
130000	80	15.78
140000	80	15.86
150000	80	15.94
160000	80	16.03
170000	80	16.13
180000	80	16.22
190000	80	16.32
200000	80	16.41
210000	80	16.51
220000	80	16.6
230000	80	16.69
240000	80	16.78
250000	80	16.87
260000	80	16.96
270000	80	17.04
280000	80	17.11
290000	80	17.19
300000	80	17.26
310000	80	17.32
320000	80	17.38
330000	80	17.44
340000	80	17.5
350000	80	17.55
360000	80	17.61
370000	80	17.66
380000	80	17.71
390000	80	17.76
400000	80	17.81
100000	81	15.86
110000	81	15.92
120000	81	15.99
130000	81	16.06
140000	81	16.14
150000	81	16.23
160000	81	16.32
170000	81	16.41
180000	81	16.51
190000	81	16.6
200000	81	16.7
210000	81	16.79
220000	81	16.89
230000	81	16.98
240000	81	17.07
250000	81	17.16
260000	81	17.24
270000	81	17.32
280000	81	17.4
290000	81	17.47
300000	81	17.54
310000	81	17.61
320000	81	17.67
330000	81	17.73
340000	81	17.79
350000	81	17.84
360000	81	17.89
370000	81	17.94
380000	81	17.99
390000	81	18.04
400000	81	18.09
100000	82	16.16
110000	82	16.22
120000	82	16.28
130000	82	16.36
140000	82	16.44
150000	82	16.52
160000	82	16.61
170000	82	16.71
180000	82	16.8
190000	82	16.9
200000	82	16.99
210000	82	17.09
220000	82	17.18
230000	82	17.27
240000	82	17.36
250000	82	17.45
260000	82	17.54
270000	82	17.62
280000	82	17.69
290000	82	17.77
300000	82	17.84
310000	82	17.9
320000	82	17.96
330000	82	18.02
340000	82	18.08
350000	82	18.13
360000	82	18.19
370000	82	18.24
380000	82	18.29
390000	82	18.34
400000	82	18.39
100000	83	16.47
110000	83	16.52
120000	83	16.59
130000	83	16.66
140000	83	16.74
150000	83	16.83
160000	83	16.92
170000	83	17.01
180000	83	17.11
190000	83	17.2
200000	83	17.3
210000	83	17.39
220000	83	17.49
230000	83	17.58
240000	83	17.67
250000	83	17.76
260000	83	17.84
270000	83	17.92
280000	83	18
290000	83	18.07
300000	83	18.14
310000	83	18.21
320000	83	18.27
330000	83	18.33
340000	83	18.39
350000	83	18.44
360000	83	18.49
370000	83	18.54
380000	83	18.59
390000	83	18.64
400000	83	18.69
100000	84	16.78
110000	84	16.84
120000	84	16.9
130000	84	16.98
140000	84	17.06
150000	84	17.14
160000	84	17.23
170000	84	17.33
180000	84	17.42
190000	84	17.52
200000	84	17.61
210000	84	17.71
220000	84	17.8
230000	84	17.9
240000	84	17.99
250000	84	18.07
260000	84	18.16
270000	84	18.24
280000	84	18.32
290000	84	18.39
300000	84	18.46
310000	84	18.52
320000	84	18.59
330000	84	18.65
340000	84	18.7
350000	84	18.76
360000	84	18.81
370000	84	18.86
380000	84	18.91
390000	84	18.96
400000	84	19.01
100000	85	17.11
110000	85	17.17
120000	85	17.23
130000	85	17.31
140000	85	17.39
150000	85	17.47
160000	85	17.56
170000	85	17.66
180000	85	17.75
190000	85	17.85
200000	85	17.94
